id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
24,74,car63,32.7471,0.8216,42.3413,2,8,0
18,74,car71,37.3768,-0.0067,855.3063,2,8,0
16,74,car374,36.211,0.2759,1133.6069,2,8,0
9,74,car331,45.4716,-0.0254,3160.4583,2,8,0
23,75,truck228,25.5537,0.2487,115.8934,1,8,0
20,75,car60,39.8193,0.4282,456.5221,1,8,0
17,75,truck219,27.7796,-0.0338,716.3619,1,8,0
12,75,car49,37.0836,-0.002,1688.6364,1,8,0
24,75,car63,33.4888,0.6846,75.5652,2,8,0
18,75,car71,37.3785,0.074,892.692,2,8,0
16,75,car374,36.4718,0.3241,1169.9836,2,8,0
9,75,car331,45.5347,0.0303,3205.9741,2,8,0
23,76,truck228,25.8661,0.3405,141.6364,1,8,0
20,76,car60,40.0425,-0.0026,496.5221,1,8,0
17,76,truck219,27.7901,0.0079,744.1445,1,8,0
12,76,car49,37.1329,0.0963,1725.7494,1,8,0
24,76,car63,34.0914,0.5167,109.4481,2,8,0
18,76,car71,37.4059,0.1039,930.0865,2,8,0
16,76,car374,36.62,-0.0867,1206.5789,2,8,0
9,76,car331,45.5296,-0.0415,3251.5138,2,8,0
23,77,truck228,26.0607,0.1455,167.6375,1,8,0
20,77,car60,39.9883,0.0819,536.4985,1,8,0
17,77,truck219,27.7441,-0.0512,771.9063,1,8,0
12,77,car49,37.2705,0.2128,1762.9525,1,8,0
24,77,car63,34.6078,0.4354,143.8802,2,8,0
18,77,car71,37.3693,-0.1181,967.4733,2,8,0
16,77,car374,36.5738,0.0136,1243.1705,2,8,0
9,77,car331,45.5468,0.0458,3297.0533,2,8,0
23,78,truck228,26.1544,0.0982,193.7562,1,8,0
20,78,car60,40.018,0.0456,576.5189,1,8,0
17,78,truck219,27.7483,-0.0274,799.6586,1,8,0
12,78,car49,37.362,0.1306,1800.2819,1,8,0
24,78,car63,34.9678,0.3679,178.7139,2,8,0
18,78,car71,37.3269,-0.0675,1004.8205,2,8,0
16,78,car374,36.6279,0.0651,1279.7799,2,8,0
9,78,car331,45.535,-0.0008,3342.6015,2,8,0
23,79,truck228,26.3006,0.1679,219.9981,1,8,0
20,79,car60,40.0031,-0.0237,616.5299,1,8,0
17,79,truck219,27.7418,-0.0321,827.4092,1,8,0
12,79,car49,37.341,-0.0337,1837.6432,1,8,0
24,79,car63,35.1946,0.2073,213.8264,2,8,0
18,79,car71,37.1263,-0.1654,1042.0154,2,8,0
16,79,car374,36.5879,0.033,1316.3739,2,8,0
9,79,car331,45.5104,-0.0075,3388.1213,2,8,0
23,80,truck228,26.4612,0.0843,246.414,1,8,0
20,80,car60,40.067,0.0661,656.5743,1,8,0
17,80,truck219,27.6746,-0.0384,855.1031,1,8,0
12,80,car49,37.3214,0.0099,1874.9622,1,8,0
24,80,car63,35.4662,0.1936,249.2049,2,8,0
18,80,car71,37.0626,-0.067,1079.0957,2,8,0
16,80,car374,36.5968,0.0305,1352.9633,2,8,0
9,80,car331,45.5111,-0.0386,3433.633,2,8,0
23,81,truck228,26.539,0.0199,272.9302,1,8,0
20,81,car60,40.0158,-0.2203,696.6284,1,8,0
17,81,truck219,27.5844,-0.1445,882.731,1,8,0
12,81,car49,37.339,0.1401,1912.2837,1,8,0
24,81,car63,35.6807,0.1817,284.8163,2,8,0
18,81,car71,36.8496,-0.1177,1116.0164,2,8,0
16,81,car374,36.6081,0.0553,1389.5553,2,8,0
9,81,car331,45.4778,-0.0085,3479.1169,2,8,0
23,82,truck228,26.5336,-0.0368,299.4637,1,8,0
20,82,car60,39.399,-0.6415,736.2947,1,8,0
17,82,truck219,27.4045,-0.1863,910.204,1,8,0
12,82,car49,37.4964,0.1146,1949.7252,1,8,0
24,82,car63,36.0226,0.2745,320.7212,2,8,0
18,82,car71,36.8183,0.0749,1152.8298,2,8,0
16,82,car374,36.5622,-0.0251,1426.1349,2,8,0
9,82,car331,45.5477,0.068,3524.6347,2,8,0
23,83,truck228,26.5328,-0.0162,325.9983,1,9,0
20,83,car60,38.399,-1.2934,775.1218,1,9,0
17,83,truck219,27.2841,-0.1149,937.5334,1,9,0
12,83,car49,37.5103,-0.1009,1987.2513,1,9,0
25,83,car999,32.3628,1.4444,45.1318,2,9,0
24,83,car63,36.0988,0.0488,356.8078,2,9,0
18,83,car71,36.909,-0.039,1189.7213,2,9,0
16,83,car374,36.4801,-0.183,1462.6629,2,9,0
9,83,car331,45.5346,0.0224,3570.1686,2,9,0
26,84,truck136,24.6186,0.409,31.2703,1,10,0
23,84,truck228,26.4605,-0.1302,352.4963,1,10,0
20,84,car60,37.1988,-1.3431,812.7857,1,10,0
17,84,truck219,27.2067,-0.0307,964.7607,1,10,0
12,84,car49,37.4525,-0.0337,2024.723,1,10,0
25,84,car999,33.7414,1.3822,78.3562,2,10,0
24,84,car63,36.0834,0.0448,392.891,2,10,0
18,84,car71,36.7717,0.0652,1226.5084,2,10,0
16,84,car374,36.313,-0.2121,1499.0435,2,10,0
9,84,car331,45.5593,0.0647,3615.7156,2,10,0
20,85,car60,37.1675,0.7519,849.7329,0,10,0
26,85,truck136,25.0278,0.4359,56.1413,1,10,0
23,85,truck228,26.3795,-0.018,378.8944,1,10,0
17,85,truck219,27.2298,0.0806,991.971,1,10,0
12,85,car49,37.2607,-0.1819,2062.0617,1,10,0
25,85,car999,34.9927,1.1826,112.8906,2,10,0
24,85,car63,36.1286,-0.0277,429.0191,2,10,0
18,85,car71,36.9013,0.1741,1263.3441,2,10,0
16,85,car374,36.2518,0.0387,1535.3022,2,10,0
9,85,car331,45.5828,0.1174,3661.2629,2,10,0
20,86,car60,37.8808,0.5542,887.3739,0,11,0
26,86,truck136,25.4333,0.4066,81.4244,1,11,0
23,86,truck228,26.3146,-0.0657,405.2379,1,11,0
17,86,truck219,27.3266,0.1107,1019.2527,1,11,0
12,86,car49,37.1561,0.0267,2099.2371,1,11,0
27,86,car120,33.1939,1.9583,45.762,2,11,0
25,86,car999,36.0599,1.0383,148.5568,2,11,0
24,86,car63,36.0086,-0.1805,465.082,2,11,0
18,86,car71,37.1331,0.1794,1300.4031,2,11,0
16,86,car374,36.3309,0.0689,1571.5977,2,11,0
9,86,car331,45.5429,0.1118,3706.7994,2,11,0
20,87,car60,38.3629,0.5046,925.5514,0,11,0
