id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
d2_10,66,car374,36.5694,0.1562,1940.5864,2,8,0
d2_8,66,car331,45.0125,0.0228,2833.4041,2,8,0
d2_21,67,truck729,24.9774,0.4627,54.2456,2,8,0
d2_19,67,truck698,26.9768,0.0847,379.0027,2,8,0
d2_15,67,truck63,26.8321,-0.0514,774.6245,2,8,0
d2_14,67,car228,42.7309,-0.0679,1273.0587,2,8,0
d2_13,67,car60,39.1224,0.0871,1405.4729,2,8,0
d2_11,67,car219,35.9915,0.1415,1857.5416,2,8,0
d2_10,67,car374,36.5085,-0.1635,1977.1443,2,8,0
d2_8,67,car331,44.9687,-0.0876,2878.3975,2,8,0
d2_21,68,truck729,25.3385,0.3048,79.4569,2,8,0
d2_19,68,truck698,27.0265,0.0295,406.0163,2,8,0
d2_15,68,truck63,26.7597,-0.0896,801.416,2,8,0
d2_14,68,car228,42.6212,-0.1178,1315.715,2,8,0
d2_13,68,car60,39.0905,0.0144,1444.5906,2,8,0
d2_11,68,car219,36.0714,0.1213,1893.5877,2,8,0
d2_10,68,car374,36.4018,-0.1099,2013.5789,2,8,0
d2_8,68,car331,44.9006,0.004,2923.3147,2,8,0
d2_21,69,truck729,25.7134,0.4253,105.0239,2,8,0
d2_19,69,truck698,27.0761,0.0669,433.0706,2,8,0
d2_15,69,truck63,26.6601,-0.0576,828.1071,2,8,0
d2_14,69,car228,42.5803,0.0424,1358.2855,2,8,0
d2_13,69,car60,39.0451,-0.1267,1483.6635,2,8,0
d2_11,69,car219,36.4414,0.3775,1929.8835,2,8,0
d2_10,69,car374,36.3771,0.1583,2049.9385,2,8,0
d2_8,69,car331,44.8039,-0.1324,2968.1709,2,8,0
d2_21,70,truck729,26.099,0.3402,130.9867,2,8,0
d2_19,70,truck698,27.0966,-0.0217,460.1662,2,8,0
d2_15,70,truck63,26.6739,0.035,854.7724,2,8,0
d2_14,70,car228,42.7014,0.204,1400.924,2,8,0
d2_13,70,car60,38.9919,-0.0358,1522.6755,2,8,0
d2_11,70,car219,36.7608,0.3758,1966.5186,2,8,0
d2_10,70,car374,36.4553,0.1041,2086.3599,2,8,0
d2_8,70,car331,44.711,-0.0983,3012.9197,2,8,0
d2_21,71,truck729,26.4769,0.3217,157.3322,2,8,0
d2_19,71,truck698,27.0739,0.0067,487.2438,2,8,0
d2_15,71,truck63,26.7156,0.0439,881.4716,2,8,0
d2_14,71,car228,42.738,-0.0779,1443.6806,2,8,0
d2_13,71,car60,39.0242,0.0364,1561.6759,2,8,0
d2_11,71,car219,37.0052,0.2694,2003.4602,2,8,0
d2_10,71,car374,36.4326,-0.0649,2122.8105,2,8,0
d2_8,71,car331,44.671,0.0176,3057.5973,2,8,0
