step,vid,lat_ms,ade,fde,acc_0.5m,acc_1.0m,acc_2.0m,prec_0.5m,prec_1.0m,prec_2.0m,gt_frames
914,27,2.51,107.3887,146.2842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
914,37,2.65,149.1657,237.8770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
915,41,2.47,167.8210,268.2117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
916,34,2.45,7.6624,5.7613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
917,35,2.46,58.0866,83.9958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
917,40,2.43,11.6930,42.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
919,42,2.61,10.7408,42.1415,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
921,38,2.63,19.3336,29.3689,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,20
924,43,2.44,26.6814,63.8422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
924,44,2.64,6.5243,8.2548,0.0000,0.0500,0.1000,0.0000,0.0500,0.1000,20
924,45,2.48,195.6997,304.6732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
929,46,2.66,166.4913,266.1730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
932,32,2.50,36.4367,78.5389,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
937,39,2.49,9.9086,16.5415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
939,27,2.65,84.0125,118.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
939,37,2.49,150.0242,238.7687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
940,41,2.47,169.7534,270.4031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
941,34,2.46,23.5412,41.4911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
941,47,2.44,196.7937,305.3949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
942,40,2.44,13.1003,43.9623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
942,48,2.45,9.8182,42.7211,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
944,42,2.62,12.0270,43.9010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
946,38,2.66,50.6247,74.0947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
949,43,2.55,13.9712,21.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
949,44,2.86,21.9197,35.7930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
949,45,2.77,189.2273,261.8581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
950,49,2.86,6.4063,12.5669,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
954,46,2.82,167.3549,267.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
957,32,2.83,59.5202,106.0507,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
961,50,2.49,194.3128,315.9395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
962,39,2.47,11.0303,17.7744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
964,37,2.46,150.9290,239.7498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
965,41,2.79,171.2527,264.2651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
966,34,2.81,53.2509,86.3011,0.0500,0.1000,0.1500,0.0500,0.1000,0.1500,20
966,47,2.65,190.1412,262.2791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
967,40,2.81,11.5441,20.0822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
967,48,2.66,11.2083,44.7007,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
969,42,2.63,13.3489,45.6008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
974,43,2.79,15.2759,22.4658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
974,44,2.76,54.7704,80.0695,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
974,45,2.81,173.1582,218.7796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
975,49,2.64,7.6337,14.3655,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
975,51,2.86,165.6600,265.0783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
975,52,2.83,8.8945,37.9033,0.0000,0.1000,0.1500,0.0000,0.1000,0.1500,20
976,53,2.85,16.9676,67.5694,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
979,46,2.69,168.6092,268.1695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
986,50,2.65,191.7490,275.9434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
